item_id,item_name,sheet_on_hand,counted_qty,variance_vs_sheet,db_on_hand_before_upload
900,"Seasoning, Parsley Dry",1.0,0.0,-1.0,1.0
906,"Seasoning, Pepper Cayenne",0.0,1.0,1.0,0.0
894,"Seasoning, Sazon Goya",5.0,5.0,0.0,5.0
901,"Seasoning, Thyme Dry",0.0,0.0,0.0,0.0
904,"Seasoning, Turmeric",1.0,1.0,0.0,1.0
969,"Shortening,Fryer Oil",2.0,6.0,4.0,2.0
1074,Shrimp Wht P D Tlon Ckd 16/20,1.0,1.0,0.0,1.0
1128,Smoked Chicken,2.0,2.0,0.0,2.0
880,Soy Sauce,1.5,1.5,0.0,1.5
875,"Steak Sauce, A1",0.0,0.0,0.0,0.0
1122,Strawberry,1.0,0.0,-1.0,1.0
892,"Sugar, Granulated",28.0,16.0,-12.0,28.0
893,"Sugar, Light Brown",10.0,0.0,-10.0,10.0
983,TOMATO ROMA SLICED,2.0,0.0,-2.0,2.0
876,"Tobasco, Green",24.0,24.0,0.0,24.0
973,Tomato Cherry Heirloom,1.0,0.0,-1.0,1.0
960,"Tomato, Crushed",0.0,0.0,0.0,0.0
961,"Tomato, Fired Roasted",0.0,0.0,0.0,0.0
959,"Tomato, Marinara",4.0,4.0,0.0,4.0
918,"Topping, Caramel",0.0,0.0,0.0,0.0
919,"Topping, Chocolate",0.0,0.0,0.0,0.0
920,"Topping, Raspberry",0.0,0.0,0.0,0.0
1093,Tortilla Flour Street 4.5,3.0,2.0,-1.0,3.0
1106,Tortilla Strips,0.75,0.75,0.0,0.75
954,"Tortilla, 12"" Wrap",0.5,2.0,1.5,0.5
877,"Tortilla, 4.5""",32.0,0.0,-32.0,32.0
953,"Tortilla, 6""",0.0,0.0,0.0,0.0
1130,"Turkey, Sliced deli",4.0,1.0,-3.0,4.0
1107,Tzatziki Sauce,3.0,3.0,0.0,3.0
1014,VANILLA ICE CREAM,0.0,0.0,0.0,0.0
1017,"Veg, Rstd Corn",1.0,2.0,1.0,1.0
882,"Vinegar, Apple Cider",12.0,10.5,-1.5,12.0
914,"Vinegar, Champagne",2.0,2.0,0.0,2.0
883,"Vinegar, Rice",3.25,3.25,0.0,3.25
881,"Vinegar, White",3.25,3.25,0.0,3.25
1028,"Waffle, Belgiian Pearl",0.0,3.0,3.0,0.0
1067,chow chow,1.0,1.0,0.0,1.0
1071,horseradish sauce,0.0,0.0,0.0,0.0
1117,kale salad mix,2.0,0.0,-2.0,2.0
1115,"onion, dice",1.5,0.0,-1.5,1.5
1114,"onion, julienne",2.0,1.0,-1.0,2.0
1113,"pepper, green dice",1.0,0.0,-1.0,1.0
1112,"pepper, red dice",1.0,0.0,-1.0,1.0
1109,"pepper, whole fresh",15.0,0.0,-15.0,15.0
1116,shredded cabbage,2.0,0.0,-2.0,2.0
1118,"shreeded cabbage, red",1.0,0.0,-1.0,1.0
1110,"tomato, roma whole",2.0,0.0,-2.0,2.0
1111,"tomato, sliced",2.0,0.0,-2.0,2.0
